ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Saccharofermentans	-4.353	11.287	0.052204908	0.130466556	NotSig	0	0.003
Singulisphaera	-0.816	14.458	0.052304448	0.130486795	NotSig	0.012	0.021
Salinisphaera	0.284	14.094	0.052425405	0.130560301	NotSig	0.026	0.021
Luteimonas	2.57	14.92	0.052782254	0.131079891	NotSig	0.018	0.003
Brevifollis	-3.506	10.551	0.052817756	0.131079891	NotSig	0	0.002
Rhodocytophaga	3.459	10.967	0.053173127	0.13173273	NotSig	0.004	0
Taibaiella	-0.407	11.287	0.053473614	0.132247569	NotSig	0.004	0.005
Cloacibacillus	-1.769	9.967	0.054065093	0.133479044	NotSig	0	0.001
Roseburia	-0.599	11.288	0.054201787	0.133585406	NotSig	0.001	0.002
Roseomonas	-0.396	11.774	0.054441984	0.133946054	NotSig	0.003	0.004
Blastococcus	14.162	9.967	0.058797464	0.143429818	NotSig	0.002	0
Rhodospirillum	13.873	9.965	0.058798327	0.143429818	NotSig	0.001	0
Brachybacterium	14.951	11.773	0.058799017	0.143429818	NotSig	0.003	0
Jeotgalicoccus	17.146	15.214	0.058799017	0.143429818	NotSig	0.015	0
Microscilla	16.769	13.359	0.058799189	0.143429818	NotSig	0.011	0
Tepidamorphus	1.52	13.358	0.060436277	0.147171616	NotSig	0.031	0.011
Oceanospirillum	0.874	16.811	0.060779259	0.147754688	NotSig	0.299	0.163
Phenylobacterium	4.324	13.55	0.062804767	0.152419052	NotSig	0.015	0.001
Azorhizobium	1.815	13.61	0.065705674	0.159188448	NotSig	0.015	0.004
Catalinimonas	3.986	12.287	0.067420168	0.162741183	NotSig	0.006	0
Nitrospira	6.655	17.848	0.067547636	0.162741183	NotSig	1.183	0.012
Gemmobacter	1.361	14.824	0.067601262	0.162741183	NotSig	0.048	0.019
Syntrophomonas	2.516	9.966	0.067628256	0.162741183	NotSig	0.002	0
Aminicenantes_genera_incertae_sedis	-0.992	10.551	0.068253268	0.163729414	NotSig	0.001	0.003
Intestinibacter	3.86	11.551	0.068268396	0.163729414	NotSig	0.006	0
Poribacteria_genera_incertae_sedis	2.622	9.966	0.06978048	0.167075074	NotSig	0.002	0
Fictibacillus	1.622	10.967	0.071765138	0.171539115	NotSig	0.003	0.001
Vagococcus	-0.143	14.8	0.071989193	0.171683232	NotSig	0.019	0.021
Aestuariihabitans	1.099	13.824	0.072066052	0.171683232	NotSig	0.012	0.006
Solimonas	2.269	17.34	0.073840801	0.175618039	NotSig	0.157	0.033
Armatimonadetes_gp2	0.383	16.921	0.074937518	0.177929848	NotSig	0.135	0.103
Massilia	6.362	19.029	0.075115312	0.178055732	NotSig	0.187	0.002
