ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Salegentibacter	19.133	15.721	0.000113442	0.000856582	Enriched	0.058	0
Methylonatrum	19.31	14.721	0.000113451	0.000856582	Enriched	0.065	0
Truepera	4.226	13.721	0.000117215	0.000880346	Enriched	0.065	0.003
Haliea	-0.512	14.011	0.000118961	0.000888783	Depleted	0.096	0.137
Clostridium_XVIII	-3.271	16.861	0.000128501	0.00095506	Depleted	0.012	0.113
Pelagibacterium	4.159	12.135	0.000132877	0.00098246	Enriched	0.012	0.001
Clostridium_III	2.332	14.175	0.000141912	0.00104386	Enriched	0.062	0.012
Rhodopirellula	3.027	17.617	0.000150054	0.001098085	Enriched	0.558	0.069
Fodinicola	3.837	11.551	0.000163178	0.001188039	Enriched	0.02	0.001
Nisaea	-5.712	12.773	0.000172108	0.001246692	Depleted	0.001	0.044
Cellvibrio	-1.137	16.053	0.000196002	0.001412602	Depleted	0.21	0.462
Brevifollis	0.211	14.746	0.000212903	0.001526694	Enriched	0.113	0.098
Colwellia	-3.673	12.551	0.000219402	0.001556669	Depleted	0.002	0.027
Amorphus	-0.642	15.175	0.000219976	0.001556669	Depleted	0.125	0.194
Williamsia	15.609	9.965	0.000225447	0.001556669	Enriched	0.005	0
Alkaliphilus	17.752	13.287	0.000225783	0.001556669	Enriched	0.022	0
Temperatibacter	17.194	12.425	0.000225783	0.001556669	Enriched	0.015	0
Jatrophihabitans	16.417	11.551	0.000225796	0.001556669	Enriched	0.009	0
Xenophilus	16.932	11.288	0.000225801	0.001556669	Enriched	0.013	0
Shuttleworthia	20.967	16.693	0.00022581	0.001556669	Enriched	0.205	0
Microbacterium	4.399	14.966	0.000228362	0.001566695	Enriched	0.074	0.003
Pedobacter	-0.379	15.848	0.000252375	0.001723157	Depleted	0.188	0.244
Erysipelothrix	7.96	15.01	0.000253683	0.001723836	Enriched	0.087	0
Mesonia	5.538	13.053	0.000264226	0.001786969	Enriched	0.016	0
Sinobacterium	-16.859	11.288	0.000269912	0.001816813	Depleted	0	0.012
